Date,Open,Close,High,Low,Volume
2018-01-01 00:00:00,13763.0,13607.0,13788.0,13505.0,1450.46631948
2018-01-01 01:00:00,13621.0,13281.0,13655.0,13251.0,1410.71015832
2018-01-01 02:00:00,13280.0,13362.0,13440.0,13214.0,1227.43575356
2018-01-01 03:00:00,13363.0,13394.0,13591.0,13310.0,1064.9225893
2018-01-01 04:00:00,13393.0,13584.0,13584.0,13262.0,855.196647
2018-01-01 05:00:00,13584.0,13501.0,13608.0,13479.0,533.23706709
2018-01-01 06:00:00,13511.0,13781.0,13839.0,13435.0,1163.31981821
2018-01-01 07:00:00,13780.0,13617.0,13893.0,13603.0,968.11121273
2018-01-01 08:00:00,13616.0,13417.0,13751.0,13389.0,1339.96869456
2018-01-01 09:00:00,13417.0,13582.0,13622.0,13416.49288463,941.40289991
2018-01-01 10:00:00,13573.0,13543.0,13585.0,13427.0,473.34413736
2018-01-01 11:00:00,13543.0,13231.0,13550.0,13072.0,2311.44756364
2018-01-01 12:00:00,13234.0,13144.0,13265.0,13092.0,1002.09213392
2018-01-01 13:00:00,13143.07847833,13022.0,13162.0,12900.0,2005.99281689
2018-01-01 14:00:00,13022.0,13193.44429002,13200.0,12777.0,2352.14710532
2018-01-01 15:00:00,13171.0,13208.0,13290.0,13085.0,1229.5512874
2018-01-01 16:00:00,13208.0,12997.0,13209.0,12969.0,1042.42037913
2018-01-01 17:00:00,12999.0,12993.0,13177.0,12986.0,704.54712799
2018-01-01 18:00:00,12993.0,13105.0,13289.0,12950.00953353,1473.62034539
2018-01-01 19:00:00,13106.0,13249.0,13253.0,13050.0,785.69703752
2018-01-01 20:00:00,13249.0,13404.0,13499.0,13249.0,1556.90855858
2018-01-01 21:00:00,13404.0,13505.0,13662.0,13382.0,1718.76133474
2018-01-01 22:00:00,13505.0,13483.0,13637.0,13465.0,872.87098099
2018-01-01 23:00:00,13478.0,13376.0,13492.0,13341.0,1080.75758323
2018-01-02 00:00:00,13375.0,13817.0,13898.0,13373.0,2739.89531674
2018-01-02 01:00:00,13816.0,13611.0,13863.0,13609.0,1549.05819416
2018-01-02 02:00:00,13612.0,13550.0,13656.0,13416.0,2008.91297568
2018-01-02 03:00:00,13551.0,13316.0,13551.0,13200.0,2166.51381107
2018-01-02 04:00:00,13316.0,13045.0,13382.0,12795.0,3382.613722
2018-01-02 05:00:00,13045.0,13091.0,13166.0,12997.0,1399.2741276900001
2018-01-02 06:00:00,13091.0,13266.0,13327.0,13008.0,835.2279427
2018-01-02 07:00:00,13266.0,13354.0,13370.0,13144.78756118,851.75213997
2018-01-02 08:00:00,13355.0,13376.0,13452.0,13326.15344954,816.5318143
2018-01-02 09:00:00,13376.0,13492.0,13568.0,13372.0,1317.32123258
2018-01-02 10:00:00,13493.0,13631.0,13679.0,13491.0,1097.53180724
2018-01-02 11:00:00,13631.0,13532.0,13631.0,13426.0,1018.75152596
2018-01-02 12:00:00,13531.0,13578.0,13625.0,13503.20378177,1010.67466631
2018-01-02 13:00:00,13578.0,13946.0,13979.0,13565.0,2442.48653106
2018-01-02 14:00:00,13946.0,13788.0,13969.0,13744.0,1541.74560774
2018-01-02 15:00:00,13787.0,13712.0,13884.0,13577.0,1529.71814847
2018-01-02 16:00:00,13711.0,13675.0,13895.0,13663.0,1378.65099803
2018-01-02 17:00:00,13675.0,13889.0,13938.0,13674.0,1991.38947554
2018-01-02 18:00:00,13889.0,14616.0,14786.0,13888.0,8579.86218467
2018-01-02 19:00:00,14616.0,14820.0,15500.0,14601.0,7864.65084502
2018-01-02 20:00:00,14821.0,14826.0,15285.0,14821.0,4572.45891854
2018-01-02 21:00:00,14827.0,14802.0,15016.0,14700.0,2065.01362203
2018-01-02 22:00:00,14802.0,14803.0,15025.0,14773.0,2396.04253735
2018-01-02 23:00:00,14803.0,14722.0,14892.0,14636.0,1636.87458457
2018-01-03 00:00:00,14717.0,14796.0,14960.0,14692.0,1636.49133919
2018-01-03 01:00:00,14801.0,14823.0,14868.0,14720.0,1211.036585
2018-01-03 02:00:00,14824.0,15050.0,15112.0,14740.0,1959.22797216
2018-01-03 03:00:00,15049.0,14843.0,15249.0,14807.0,1848.01005237
2018-01-03 04:00:00,14842.0,15100.0,15186.0,14842.0,1547.55092519
2018-01-03 05:00:00,15100.0,15089.0,15184.52562524,15014.0,916.62848114
2018-01-03 06:00:00,15089.0,15404.0,15417.0,15020.0,1743.42382025
2018-01-03 07:00:00,15405.0,15281.0,15428.83091885,15184.0,1789.73336571
2018-01-03 08:00:00,15281.0,15098.0,15285.0,15052.0,1638.02215633
2018-01-03 09:00:00,15097.0,14820.0,15125.0,14778.0,2337.47268969
2018-01-03 10:00:00,14820.0,14682.0,14895.0,14507.0,2795.44910898
2018-01-03 11:00:00,14683.0,14844.0,14864.0,14632.0,1298.82587554
2018-01-03 12:00:00,14848.0,14594.0,14871.0,14500.0,1275.39350262
2018-01-03 13:00:00,14594.0,14898.0,14940.0,14552.0,1094.37526583
2018-01-03 14:00:00,14898.0,14868.0,15072.0,14840.0,1807.01295709
2018-01-03 15:00:00,14861.0,15072.0,15072.0,14861.0,1542.66243363
2018-01-03 16:00:00,15072.0,15100.0,15214.0,15032.0,1710.95084305
2018-01-03 17:00:00,15100.0,14874.0,15103.0,14850.0,1618.66961351
2018-01-03 18:00:00,14872.0,14751.0,14918.1726201,14751.0,1782.55814624
2018-01-03 19:00:00,14751.0,14726.0,14877.0,14725.0,1341.68866382
2018-01-03 20:00:00,14726.0,15001.0,15006.0,14703.0,1507.85532957
2018-01-03 21:00:00,15002.0,15028.0,15058.0,14866.0,1528.35729607
2018-01-03 22:00:00,15029.0,14842.65725863,15042.12949834,14833.04413864,1004.91894256
2018-01-03 23:00:00,14842.65725863,15150.0,15192.0,14842.0,1422.05808672
2018-01-04 00:00:00,15150.0,15081.09782898,15166.0,14998.0,1712.23321026
2018-01-04 01:00:00,15081.0,15320.0,15350.0,14936.0,2856.35509311
2018-01-04 02:00:00,15320.0,15210.0,15422.15785315,15185.0,1832.03858368
2018-01-04 03:00:00,15210.0,15055.0,15248.14896269,15044.0,1816.51852172
2018-01-04 04:00:00,15055.0,14895.0,15055.0,14802.0,1776.30239333
2018-01-04 05:00:00,14894.0,14846.69836849,14953.0,14750.0,1464.89483765
2018-01-04 06:00:00,14848.0,14852.0,15051.0,14828.0,1522.54737045
2018-01-04 07:00:00,14850.0,14795.0,14910.0,14720.0,1892.84376252
2018-01-04 08:00:00,14790.0,14277.0,14848.0,14104.0,3928.86043545
2018-01-04 09:00:00,14277.0,14435.0,14499.0,14060.0,2102.32721334
2018-01-04 10:00:00,14435.0,14434.0,14580.0,14342.0,1798.86371101
2018-01-04 11:00:00,14436.0,14528.0,14560.0,14274.0,1537.5720418
2018-01-04 12:00:00,14528.0,14364.0,14560.0,14159.0,2577.71585005
2018-01-04 13:00:00,14364.0,14535.0,14621.71427744,14344.0,1453.53234001
2018-01-04 14:00:00,14535.0,14560.53088039,14696.0,14431.0,1802.45165028
2018-01-04 15:00:00,14560.53088039,14463.0,14676.0,14425.0,2659.7588881
2018-01-04 16:00:00,14463.0,14547.0,14589.0,14350.0,1442.63500768
2018-01-04 17:00:00,14548.0,14702.0,14760.0,14531.0,1760.0422683
2018-01-04 18:00:00,14701.0,14791.0,14997.0,14693.0,2226.13882873
2018-01-04 19:00:00,14791.0,14975.0,15061.0,14777.0,2175.94592477
2018-01-04 20:00:00,14976.0,14854.50411122,15090.0,14811.0,2547.5251619
2018-01-04 21:00:00,14855.0,14897.0,15051.0,14815.0,1197.7817169
2018-01-04 22:00:00,14898.0,15019.0,15073.07701132,14809.0,1134.6549339
2018-01-04 23:00:00,15019.0,15159.0,15198.0,14951.0,1260.4428977
2018-01-05 00:00:00,15159.0,15006.0,15179.0,14909.0,1031.25356931
2018-01-05 01:00:00,15002.0,15043.0,15079.0,14969.0,806.77089509
2018-01-05 02:00:00,15042.0,15060.0,15193.0,15040.0,1606.12652067
2018-01-05 03:00:00,15060.0,14924.0,15107.0,14893.0,965.86716388
2018-01-05 04:00:00,14923.0,14924.0,15001.0,14725.0,1201.53376963
2018-01-05 05:00:00,14920.0,15009.0,15050.0,14830.0,1318.90894542
2018-01-05 06:00:00,15009.0,14951.0,15033.0,14900.0,888.02695096
2018-01-05 07:00:00,14952.0,14920.0,14953.0,14817.0,928.8837759
2018-01-05 08:00:00,14922.0,15597.0,15770.0,14901.0,3335.99613359
2018-01-05 09:00:00,15597.0,15860.0,16179.0,15593.0,7440.34637261
2018-01-05 10:00:00,15860.0,16065.0,16242.0,15834.76390711,3201.22664217
