unix,Date,symbol,Open,High,Low,Close,Volume BTC,Volume,tradecount
1658556000,2022.07.23 6:00,BTC/USDT,22902.46000000,22935.97000000,228100000000,22827.46000000,3248.16883000,743052269143760,136585
1658552400,2022.07.23 5:00,BTC/USDT,22896.56000000,23000.77000000,22842.65000000,22902.46000000,4452.59878000,1020689385806510,157743
1658548800,2022.07.23 4:00,BTC/USDT,22808.55000000,22987.93000000,22727.54000000,22895.40000000,5656.23658000,129317360.65025740,184060
1658545200,2022.07.23 3:00,BTC/USDT,228334000000,22902.50000000,22795.22000000,22808.55000000,2966.73011000,67805767.22324680,125440
1658541600,2022.07.23 2:00,BTC/USDT,22787.77000000,22904.39000000,22774.18000000,22834.24000000,3474.99265000,79407315.17398990,152597
1658538000,2022.07.23 1:00,BTC/USDT,22766.55000000,22860.36000000,22736.33000000,22787.77000000,3082.68490000,70279627.45101440,117081
1658534400,2022.07.23 0:00,BTC/USDT,22684.83000000,22818.97000000,22550.14000000,22767.19000000,4303.36591000,97733064.44485590,161272
1658530800,2022.07.22 23:00,BTC/USDT,22724.27000000,227707000000,22653.91000000,22684.83000000,26066812000,59178185.11713180,115335
1658527200,2022.07.22 22:00,BTC/USDT,22737.99000000,22780.18000000,22637.31000000,22726.27000000,2875.81876000,65295121.94255480,118784
1658523600,2022.07.22 21:00,BTC/USDT,22603.36000000,22785.95000000,22572.33000000,22737.99000000,3243.88230000,73634071.65986270,107797
1658520000,2022.07.22 20:00,BTC/USDT,22582.88000000,22729.90000000,225000000000,22604.97000000,6978.15160000,157846313.91088120,177782
1658516400,2022.07.22 19:00,BTC/USDT,230261000000,23138.45000000,22543.64000000,22586.26000000,12135.46592000,276756844.85456920,274914
1658512800,2022.07.22 18:00,BTC/USDT,23017.79000000,23071.65000000,229150000000,230261000000,5448.64922000,125313124.87378630,169934
1658509200,2022.07.22 17:00,BTC/USDT,23110.53000000,231990000000,228870000000,23017.79000000,9363.28746000,215541559.56756500,240689
1658505600,2022.07.22 16:00,BTC/USDT,23290.71000000,23344.62000000,230509000000,23108.14000000,9929.78468000,230066122.98465900,257490
1658502000,2022.07.22 15:00,BTC/USDT,236647000000,23665.59000000,23227.81000000,23290.68000000,10332.55593000,241724255.47551840,273433
1658498400,2022.07.22 14:00,BTC/USDT,23456.27000000,23675.36000000,23327.29000000,23661.82000000,130033520000,305439226.84443450,321766
1658494800,2022.07.22 13:00,BTC/USDT,23588.13000000,23756.49000000,234300000000,23456.28000000,12306.32298000,290138407.19297510,317112
1658491200,2022.07.22 12:00,BTC/USDT,23612.15000000,23696.95000000,23558.59000000,235907000000,7675.35843000,181428833.91788320,227601
1658487600,2022.07.22 11:00,BTC/USDT,23434.38000000,23634.40000000,234041000000,23610.58000000,6423.64581000,151073997.37126010,198636
1658484000,2022.07.22 10:00,BTC/USDT,23450.64000000,23590.56000000,234134000000,234385000000,6402.18281000,150395107.48281060,210424
1658480400,2022.07.22 9:00,BTC/USDT,23304.92000000,23524.52000000,23262.72000000,23448.78000000,122448794000,2867483025517760,287719
1658476800,2022.07.22 8:00,BTC/USDT,23121.63000000,233200000000,230680000000,23301.73000000,9220.35704000,214011945.47480860,230777
1658473200,2022.07.22 7:00,BTC/USDT,23166.26000000,233200000000,230150000000,23118.79000000,8487.13635000,196682476.44458080,215618
1658469600,2022.07.22 6:00,BTC/USDT,23148.46000000,23227.44000000,230846000000,23166.26000000,5361.98846000,124166331.38470510,154469
1658466000,2022.07.22 5:00,BTC/USDT,22968.45000000,23173.41000000,22886.94000000,23146.46000000,5381.83839000,124079488.36459170,154773
1658462400,2022.07.22 4:00,BTC/USDT,22907.25000000,22992.63000000,22805.89000000,22969.85000000,4003.36919000,91734773.89641430,131011
1658458800,2022.07.22 3:00,BTC/USDT,22987.42000000,23043.35000000,22861.43000000,22909.90000000,4365.77566000,100200494.29487760,130853
1658455200,2022.07.22 2:00,BTC/USDT,231035000000,23134.49000000,22962.45000000,22987.42000000,3710.24499000,85537924.96307150,126786
1658451600,2022.07.22 1:00,BTC/USDT,23269.20000000,23308.74000000,230664000000,231035000000,4517.47317000,104712576.55955220,137955
1658448000,2022.07.22 0:00,BTC/USDT,23152.19000000,23352.53000000,230900000000,23270.16000000,5581.95925000,129689279.59438650,163924
1658444400,2022.07.21 23:00,BTC/USDT,230178000000,232339000000,23000.17000000,23152.19000000,4726.89562000,109352130.45095850,138540
1658440800,2022.07.21 22:00,BTC/USDT,23207.99000000,23231.35000000,22931.35000000,230178000000,6007.12907000,138459298.86195360,166437
1658437200,2022.07.21 21:00,BTC/USDT,23120.65000000,232500000000,23077.30000000,23207.99000000,3458.93212000,80077896.12211090,117502
1658433600,2022.07.21 20:00,BTC/USDT,23194.40000000,23308.80000000,23089.97000000,23120.65000000,9085.92105000,210717824.43227830,218429
1658430000,2022.07.21 19:00,BTC/USDT,22932.32000000,232000000000,22916.10000000,23194.40000000,78016405000,180052289.66304210,196669
1658426400,2022.07.21 18:00,BTC/USDT,22852.28000000,23005.42000000,228181000000,22928.77000000,4856.90773000,111241868.44436820,142791
1658422800,2022.07.21 17:00,BTC/USDT,23031.27000000,23207.94000000,227725000000,22852.28000000,9236.62776000,2122259740434010,223833
1658419200,2022.07.21 16:00,BTC/USDT,22639.37000000,23199.15000000,22632.72000000,230340000000,13599.51063000,312280740.67384870,289954
1658415600,2022.07.21 15:00,BTC/USDT,22555.31000000,22679.24000000,22520.17000000,22642.34000000,6414.29306000,1449550204101990,172447
1658412000,2022.07.21 14:00,BTC/USDT,22702.30000000,22761.77000000,22341.46000000,22558.20000000,12186.72997000,274381299.21410540,290817
1658408400,2022.07.21 13:00,BTC/USDT,22802.82000000,22812.77000000,22561.27000000,22704.96000000,10543.33923000,239219562.95155900,258878
1658404800,2022.07.21 12:00,BTC/USDT,22607.92000000,228500000000,22542.14000000,22800.20000000,9839.15857000,223587386.59599920,237007
1658401200,2022.07.21 11:00,BTC/USDT,22870.88000000,22906.87000000,22466.34000000,226064000000,12341.16162000,279644098.23023850,275676
1658397600,2022.07.21 10:00,BTC/USDT,23003.58000000,23074.12000000,22846.95000000,22869.55000000,5411.94236000,124338926.69305970,172699
1658394000,2022.07.21 9:00,BTC/USDT,22878.77000000,23022.54000000,22855.29000000,23003.58000000,55869590000,128219499.93508470,170276
1658390400,2022.07.21 8:00,BTC/USDT,22929.28000000,22971.34000000,227973000000,22878.77000000,5865.44738000,134166159.56380910,173769
1658386800,2022.07.21 7:00,BTC/USDT,22790.23000000,23099.51000000,22773.49000000,22931.56000000,7601.42980000,174548192.60694570,192942
1658383200,2022.07.21 6:00,BTC/USDT,22943.15000000,22967.57000000,22750.14000000,22790.23000000,5236.29583000,119754788.37878030,154176
1658379600,2022.07.21 5:00,BTC/USDT,22881.41000000,22993.71000000,22813.27000000,229420000000,5390.57860000,123499563.61452430,149822
1658376000,2022.07.21 4:00,BTC/USDT,22779.12000000,22943.18000000,22638.53000000,22881.41000000,8282.86352000,188825592.26361340,193640
1658372400,2022.07.21 3:00,BTC/USDT,226926000000,22866.14000000,226660000000,22777.20000000,7319.16992000,166765271.24458550,201171
1658368800,2022.07.21 2:00,BTC/USDT,23233.61000000,23338.51000000,22689.42000000,22694.58000000,10942.88177000,251556691.20906780,277155
1658365200,2022.07.21 1:00,BTC/USDT,23249.70000000,23442.77000000,23160.50000000,23235.64000000,6558.37742000,152824879.47918380,197191
1658361600,2022.07.21 0:00,BTC/USDT,23223.30000000,23386.56000000,23122.34000000,23249.70000000,6524.92893000,151716804.72054840,196373
1658358000,2022.07.20 23:00,BTC/USDT,233096000000,23401.88000000,231110000000,23223.30000000,7088.41770000,164956471.13351520,213330
